"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2022","22,594.0","22,172.0","22,805.0","20,089.0","17.56K","1.90%"
"06/14/2022","22,172.0","22,500.0","23,326.0","20,873.0","16.45K","-1.40%"
"06/13/2022","22,487.0","26,670.0","26,922.3","22,017.0","42.72K","-15.68%"
"06/12/2022","26,670.0","28,425.0","28,558.3","26,640.0","8.91K","-6.17%"
"06/11/2022","28,425.0","29,103.0","29,452.0","28,138.0","3.75K","-2.33%"
"06/10/2022","29,103.0","30,112.2","30,367.0","28,864.1","4.85K","-3.35%"
"06/09/2022","30,112.2","30,226.0","30,711.8","29,957.0","2.10K","-0.39%"
"06/08/2022","30,230.0","31,149.0","31,331.0","29,887.0","2.65K","-2.95%"
"06/07/2022","31,149.0","31,371.0","31,577.0","29,231.0","6.42K","-0.71%"
"06/06/2022","31,371.0","29,923.4","31,764.0","29,907.0","4.78K","4.84%"
"06/05/2022","29,923.4","29,877.0","30,196.0","29,541.0","1.72K","0.16%"
"06/04/2022","29,877.0","29,730.0","29,981.0","29,506.0","1.50K","0.49%"
"06/03/2022","29,730.0","30,478.0","30,707.0","29,346.0","3.04K","-2.45%"
"06/02/2022","30,478.0","29,832.0","30,712.0","29,620.0","5.93K","2.17%"
"06/01/2022","29,832.0","31,792.0","31,974.0","29,354.0","4.84K","-6.17%"
"05/31/2022","31,792.0","31,726.3","32,390.8","31,220.0","2.92K","0.21%"
"05/30/2022","31,726.3","29,476.0","32,191.0","29,310.6","7.93K","7.63%"
"05/29/2022","29,476.0","29,037.0","29,586.0","28,851.0","2.57K","1.51%"
"05/28/2022","29,037.0","28,609.0","29,259.0","28,528.3","1.65K","1.50%"
"05/27/2022","28,609.0","29,213.0","29,377.8","28,267.1","4.37K","-2.07%"
"05/26/2022","29,213.0","29,524.0","29,859.2","28,005.0","5.54K","-1.05%"
"05/25/2022","29,524.0","29,647.0","30,218.0","29,345.0","2.15K","-0.41%"
"05/24/2022","29,647.0","29,091.0","29,822.0","28,690.0","2.91K","1.91%"
"05/23/2022","29,091.0","30,283.0","30,666.0","28,868.0","2.79K","-3.94%"
"05/22/2022","30,283.0","29,439.0","30,466.0","29,253.0","2.68K","2.87%"
"05/21/2022","29,439.0","29,202.0","29,652.0","28,963.0","1.28K","0.81%"
"05/20/2022","29,202.0","30,329.0","30,764.0","28,713.0","3.94K","-3.72%"
