"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2022","0.48778","0.50696","0.51914","0.47199","204.35M","-3.73%"
"09/23/2022","0.50670","0.48599","0.55848","0.45660","373.47M","4.39%"
"09/22/2022","0.48537","0.39350","0.50018","0.39347","259.63M","23.35%"
"09/21/2022","0.39350","0.41376","0.43237","0.38298","215.89M","-4.90%"
"09/20/2022","0.41379","0.38480","0.42278","0.37041","214.78M","7.55%"
"09/19/2022","0.38474","0.35771","0.39292","0.34021","144.45M","7.56%"
"09/18/2022","0.35769","0.37625","0.39756","0.35582","149.61M","-4.86%"
"09/17/2022","0.37595","0.35507","0.38058","0.34643","84.59M","5.92%"
"09/16/2022","0.35493","0.32617","0.35809","0.32152","77.53M","8.79%"
"09/15/2022","0.32624","0.34140","0.34271","0.32445","120.76M","-4.49%"
"09/14/2022","0.34158","0.33253","0.34417","0.33121","104.68M","2.71%"
"09/13/2022","0.33258","0.35977","0.36018","0.33092","132.85M","-7.55%"
"09/12/2022","0.35973","0.35515","0.36000","0.34794","62.21M","1.28%"
"09/11/2022","0.35517","0.35729","0.36026","0.34936","38.40M","-0.59%"
"09/10/2022","0.35729","0.35675","0.36176","0.35163","53.53M","0.13%"
"09/09/2022","0.35684","0.33956","0.35921","0.33942","95.07M","5.09%"
"09/08/2022","0.33956","0.33691","0.34337","0.32840","84.56M","0.79%"
"09/07/2022","0.33689","0.32121","0.33858","0.31273","102.61M","4.88%"
"09/06/2022","0.32123","0.33295","0.34297","0.31863","103.78M","-3.52%"
"09/05/2022","0.33295","0.33170","0.33360","0.32252","39.51M","0.39%"
"09/04/2022","0.33167","0.32968","0.33261","0.32772","27.10M","0.60%"
"09/03/2022","0.32968","0.33141","0.33403","0.32667","32.66M","-0.52%"
"09/02/2022","0.33141","0.33330","0.33531","0.32530","55.48M","-0.54%"
"09/01/2022","0.33320","0.32767","0.33336","0.32159","91.89M","1.66%"
"08/31/2022","0.32775","0.32683","0.33390","0.32318","84.11M","0.32%"
"08/30/2022","0.32669","0.33373","0.33569","0.32028","91.20M","-2.14%"
"08/29/2022","0.33382","0.32251","0.33400","0.31867","66.69M","3.54%"
"08/28/2022","0.32240","0.33467","0.33720","0.32142","39.79M","-3.67%"
"08/27/2022","0.33467","0.33922","0.34482","0.32841","51.17M","-1.33%"
"08/26/2022","0.33919","0.34909","0.37075","0.33265","121.73M","-2.86%"
"08/25/2022","0.34916","0.34571","0.35209","0.34353","89.77M","1.01%"
"08/24/2022","0.34567","0.34738","0.35248","0.33889","79.93M","-0.46%"
"08/23/2022","0.34726","0.34394","0.34794","0.33268","85.70M","0.94%"
"08/22/2022","0.34403","0.34477","0.34515","0.33149","61.52M","-0.22%"
"08/21/2022","0.34479","0.33681","0.34845","0.33555","44.21M","2.37%"
"08/20/2022","0.33681","0.33446","0.34273","0.33206","55.11M","0.71%"
"08/19/2022","0.33442","0.37031","0.37057","0.32946","116.49M","-9.68%"
"08/18/2022","0.37026","0.37956","0.38120","0.36917","70.05M","-2.41%"
"08/17/2022","0.37941","0.37695","0.39195","0.36819","95.13M","0.66%"
"08/16/2022","0.37691","0.37516","0.37828","0.36661","54.22M","0.47%"
"08/15/2022","0.37516","0.37560","0.38510","0.36595","46.38M","-0.13%"
"08/14/2022","0.37565","0.37802","0.39219","0.37395","38.54M","-0.61%"
"08/13/2022","0.37796","0.37957","0.38749","0.37634","26.58M","-0.41%"
"08/12/2022","0.37952","0.38018","0.38053","0.37007","46.42M","-0.18%"
"08/11/2022","0.38022","0.38140","0.38560","0.37716","57.06M","-0.30%"
"08/10/2022","0.38138","0.36729","0.38155","0.35855","67.37M","3.83%"
"08/09/2022","0.36732","0.37870","0.38001","0.36062","60.04M","-3.01%"
"08/08/2022","0.37870","0.37229","0.38457","0.37145","43.98M","1.72%"
"08/07/2022","0.37228","0.37138","0.37690","0.36812","16.81M","0.25%"
"08/06/2022","0.37136","0.37637","0.37759","0.37071","16.83M","-1.33%"
"08/05/2022","0.37637","0.37112","0.37837","0.36729","49.61M","1.47%"
"08/04/2022","0.37091","0.36950","0.37498","0.36433","59.88M","0.37%"
"08/03/2022","0.36954","0.37160","0.37730","0.36321","69.22M","-0.54%"
"08/02/2022","0.37156","0.37904","0.39412","0.36675","93.42M","-1.98%"
"08/01/2022","0.37905","0.37913","0.38586","0.37131","53.65M","-0.03%"
"07/31/2022","0.37917","0.38794","0.39860","0.37830","52.16M","-2.25%"
"07/30/2022","0.38789","0.36794","0.40983","0.36307","77.80M","5.51%"
"07/29/2022","0.36765","0.37376","0.37972","0.35964","69.19M","-1.63%"
"07/28/2022","0.37374","0.35948","0.37921","0.34948","81.34M","3.96%"
"07/27/2022","0.35949","0.33733","0.35969","0.33049","78.50M","6.55%"
"07/26/2022","0.33739","0.33601","0.33849","0.32559","83.85M","0.55%"
"07/25/2022","0.33553","0.35859","0.36009","0.33503","53.34M","-6.45%"
"07/24/2022","0.35866","0.35922","0.36672","0.35603","30.44M","-0.16%"
"07/23/2022","0.35924","0.35779","0.36267","0.34978","32.76M","0.41%"
"07/22/2022","0.35779","0.36682","0.37144","0.35419","48.27M","-2.48%"
"07/21/2022","0.36689","0.36356","0.36846","0.34879","62.16M","0.96%"
"07/20/2022","0.36339","0.37285","0.38160","0.35754","82.99M","-2.58%"
"07/19/2022","0.37300","0.36533","0.37652","0.35154","92.16M","2.13%"
"07/18/2022","0.36522","0.34338","0.36996","0.34297","91.23M","6.39%"
"07/17/2022","0.34328","0.35051","0.36133","0.34254","43.86M","-2.08%"
"07/16/2022","0.35058","0.33411","0.35606","0.33130","52.15M","4.93%"
"07/15/2022","0.33411","0.33371","0.34870","0.32757","68.40M","0.11%"
"07/14/2022","0.33373","0.32370","0.33390","0.31263","73.20M","3.09%"
"07/13/2022","0.32372","0.31164","0.32579","0.30301","94.94M","3.83%"
"07/12/2022","0.31177","0.31510","0.31806","0.30802","94.70M","-1.06%"
"07/11/2022","0.31510","0.32552","0.32884","0.31085","56.11M","-3.13%"
"07/10/2022","0.32529","0.34479","0.34487","0.32015","39.99M","-5.65%"
"07/09/2022","0.34476","0.34024","0.34764","0.33918","22.30M","1.29%"
"07/08/2022","0.34037","0.34232","0.35881","0.33592","90.33M","-0.65%"
"07/07/2022","0.34258","0.33246","0.34543","0.32697","77.73M","3.08%"
"07/06/2022","0.33235","0.32520","0.33397","0.32006","98.99M","2.19%"
"07/05/2022","0.32523","0.32862","0.33084","0.31308","96.66M","-1.01%"
"07/04/2022","0.32856","0.32149","0.32972","0.31489","47.86M","2.21%"
"07/03/2022","0.32147","0.31570","0.32562","0.30903","25.06M","1.82%"
"07/02/2022","0.31572","0.31394","0.31794","0.30962","32.94M","0.60%"
"07/01/2022","0.31383","0.33203","0.33580","0.30996","60.41M","-5.53%"
"06/30/2022","0.33219","0.32956","0.33287","0.30606","97.62M","0.85%"
