"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2022","53.960","53.300","54.120","52.310","415.48K","1.28%"
"09/28/2022","53.280","52.670","53.790","51.100","487.00K","1.20%"
"09/27/2022","52.650","53.440","55.460","51.890","594.09K","-1.46%"
"09/26/2022","53.430","52.540","53.720","51.910","462.57K","1.73%"
"09/25/2022","52.520","53.430","54.390","52.290","388.52K","-1.70%"
"09/24/2022","53.430","55.240","55.800","53.210","477.66K","-3.36%"
"09/23/2022","55.290","53.610","55.320","51.540","626.03K","3.25%"
"09/22/2022","53.550","51.090","54.060","50.650","617.84K","4.71%"
"09/21/2022","51.140","52.300","55.490","50.270","948.41K","-2.22%"
"09/20/2022","52.300","52.950","53.680","50.880","740.01K","-1.15%"
"09/19/2022","52.910","52.650","53.700","50.170","1.19M","0.53%"
"09/18/2022","52.630","57.830","57.830","52.540","524.25K","-8.98%"
"09/17/2022","57.820","55.940","58.390","55.810","314.15K","3.34%"
"09/16/2022","55.950","56.380","56.900","54.660","469.34K","-0.67%"
"09/15/2022","56.330","60.110","60.810","55.870","696.71K","-6.40%"
"09/14/2022","60.180","59.080","61.100","58.300","753.42K","1.83%"
"09/13/2022","59.100","61.380","67.380","58.340","1.44M","-3.70%"
"09/12/2022","61.370","62.140","63.190","60.130","493.54K","-1.35%"
"09/11/2022","62.210","63.320","64.410","61.460","491.81K","-1.69%"
"09/10/2022","63.280","61.150","64.620","60.560","643.93K","3.48%"
"09/09/2022","61.150","57.960","61.920","57.710","640.02K","5.56%"
"09/08/2022","57.930","57.330","58.560","56.100","526.70K","1.10%"
"09/07/2022","57.300","54.110","58.290","53.000","791.16K","5.91%"
"09/06/2022","54.100","60.520","62.650","54.060","893.87K","-10.36%"
"09/05/2022","60.350","60.910","61.570","59.340","550.15K","-0.90%"
"09/04/2022","60.900","60.150","60.990","58.620","416.65K","1.26%"
"09/03/2022","60.140","60.970","62.110","59.560","604.65K","-1.41%"
"09/02/2022","61.000","57.590","62.190","56.540","970.97K","5.99%"
"09/01/2022","57.550","53.840","57.770","53.240","746.47K","6.95%"
"08/31/2022","53.810","53.030","55.240","53.030","440.99K","1.60%"
"08/30/2022","52.960","55.770","56.150","51.880","505.56K","-5.09%"
"08/29/2022","55.800","53.400","56.690","52.590","635.79K","4.53%"
"08/28/2022","53.380","53.010","55.780","52.480","571.90K","0.74%"
"08/27/2022","52.990","52.680","53.390","51.830","342.67K","0.61%"
"08/26/2022","52.670","56.620","58.210","52.110","663.98K","-6.99%"
"08/25/2022","56.630","56.420","57.490","55.830","379.38K","0.46%"
"08/24/2022","56.370","57.110","57.500","55.570","437.07K","-1.24%"
"08/23/2022","57.080","57.230","57.680","53.960","562.17K","-0.28%"
"08/22/2022","57.240","55.650","57.400","52.320","879.86K","2.84%"
"08/21/2022","55.660","54.100","55.980","53.820","377.19K","2.90%"
"08/20/2022","54.090","54.060","55.600","52.670","651.73K","0.19%"
"08/19/2022","53.990","60.020","60.190","53.360","807.38K","-10.00%"
"08/18/2022","59.990","60.520","61.660","59.410","421.14K","-0.84%"
"08/17/2022","60.500","61.320","64.690","59.760","718.34K","-1.29%"
"08/16/2022","61.290","60.630","61.710","60.040","367.32K","0.99%"
"08/15/2022","60.690","63.190","65.310","59.680","521.28K","-3.87%"
"08/14/2022","63.130","63.810","65.810","62.490","453.02K","-1.05%"
"08/13/2022","63.800","62.890","65.610","62.650","502.53K","1.45%"
"08/12/2022","62.890","61.860","63.060","60.710","361.48K","1.70%"
"08/11/2022","61.840","61.600","63.350","61.490","451.63K","0.39%"
"08/10/2022","61.600","59.140","62.260","57.750","683.59K","4.11%"
"08/09/2022","59.170","62.590","62.850","58.320","467.96K","-5.52%"
"08/08/2022","62.630","61.070","64.080","60.810","403.94K","2.49%"
"08/07/2022","61.110","60.830","62.000","59.920","242.43K","0.49%"
"08/06/2022","60.810","62.470","62.500","60.590","221.94K","-2.67%"
"08/05/2022","62.480","59.640","62.540","59.640","488.08K","4.71%"
"08/04/2022","59.670","57.720","60.560","57.620","438.23K","3.32%"
"08/03/2022","57.750","58.060","60.120","56.710","497.78K","-0.57%"
"08/02/2022","58.080","59.490","59.810","56.660","499.49K","-2.34%"
"08/01/2022","59.470","59.680","60.670","58.280","413.42K","-0.50%"
"07/31/2022","59.770","60.440","62.960","59.670","363.16K","-1.04%"
"07/30/2022","60.400","60.660","64.050","59.980","571.52K","-0.36%"
"07/29/2022","60.620","63.410","64.550","59.770","597.98K","-4.49%"
"07/28/2022","63.470","59.040","64.170","58.180","793.60K","7.58%"
"07/27/2022","59.000","53.880","59.040","53.020","536.65K","9.42%"
"07/26/2022","53.920","54.030","54.120","52.020","421.93K","-0.15%"
"07/25/2022","54.000","58.400","58.910","54.000","479.13K","-7.52%"
"07/24/2022","58.390","56.320","59.730","56.320","353.09K","3.62%"
"07/23/2022","56.350","56.090","57.200","54.510","360.05K","0.59%"
"07/22/2022","56.020","58.020","59.160","55.550","504.39K","-3.48%"
"07/21/2022","58.040","57.170","58.620","55.230","495.19K","1.52%"
"07/20/2022","57.170","57.900","61.660","56.450","823.63K","-1.31%"
"07/19/2022","57.930","58.600","59.470","55.860","648.94K","-1.21%"
"07/18/2022","58.640","55.750","59.300","55.360","704.58K","5.28%"
"07/17/2022","55.700","55.150","57.010","54.470","488.42K","1.11%"
"07/16/2022","55.090","51.770","55.460","51.130","437.14K","6.41%"
